team,name,AB,H,2B,3B,HR,TB,BB,HBP,SF
広島,ファビアン,539.0,149.0,30.0,0.0,17.0,230.0,22.0,9.0,2.0
広島,二俣翔一,118.0,22.0,4.0,1.0,3.0,37.0,8.0,1.0,1.0
広島,塹江敦哉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,前川誠太,54.0,10.0,3.0,0.0,0.0,13.0,2.0,0.0,0.0
広島,益田武尚,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,松本竜也,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,松山竜平,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,モンテロ,368.0,94.0,21.0,1.0,9.0,144.0,23.0,2.0,3.0
広島,森翔平,36.0,7.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0
広島,森浦大輔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
広島,森下暢仁,43.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
広島,矢野雅哉,284.0,59.0,6.0,1.0,1.0,70.0,27.0,6.0,2.0
広島,山足達也,9.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
広島,渡邉悠斗,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ヤクルト,アビラ,22.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ヤクルト,青柳晃洋,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,赤羽由紘,258.0,54.0,11.0,1.0,2.0,73.0,18.0,0.0,2.0
ヤクルト,石川雅規,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ヤクルト,石原勇輝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,石山泰稚,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,伊藤琉偉,184.0,38.0,6.0,2.0,3.0,57.0,12.0,0.0,1.0
ヤクルト,岩田幸宏,357.0,95.0,8.0,5.0,0.0,113.0,24.0,6.0,1.0
ヤクルト,内山壮真,423.0,111.0,26.0,1.0,8.0,163.0,41.0,1.0,4.0
ヤクルト,オスナ,528.0,135.0,22.0,0.0,14.0,199.0,40.0,1.0,5.0
ヤクルト,太田賢吾,118.0,27.0,6.0,0.0,0.0,33.0,6.0,4.0,2.0
ヤクルト,大西広樹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,小川泰弘,22.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
ヤクルト,奥川恭伸,24.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
ヤクルト,金久保優斗,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,川端慎吾,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
ヤクルト,木澤尚文,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,北村恵吾,120.0,32.0,10.0,0.0,5.0,57.0,15.0,4.0,1.0
ヤクルト,北村拓己,116.0,22.0,3.0,0.0,3.0,34.0,6.0,4.0,0.0
ヤクルト,古賀優大,264.0,74.0,11.0,0.0,2.0,91.0,12.0,4.0,2.0
ヤクルト,小澤怜史,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,サンタナ,212.0,58.0,11.0,0.0,3.0,78.0,25.0,3.0,0.0
ヤクルト,阪口皓亮,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
