game_date,stadium_id,top_bottom,bat_order,batter_obp,batter_ops,batter_xbh_rate,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops
2025-03-29,マツダスタジアム,1,3,0.25,0.5,0.0,0.25,0.5,1.0,2.0
2025-03-29,マツダスタジアム,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,マツダスタジアム,1,5,0.25,0.5,0.0,0.333333,0.666667,0.0,0.0
2025-03-29,マツダスタジアム,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,マツダスタジアム,1,7,0.3333,1.0,0.333333333,0.333333,1.0,0.0,0.0
2025-03-29,マツダスタジアム,1,8,1.0,2.0,0.0,0.0,0.0,1.0,2.0
2025-03-29,マツダスタジアム,1,9,0.0,0.0,0.0,,,0.0,0.0
2025-03-29,京セラドーム大阪,0,1,0.25,0.4527,0.0,0.0,0.0,0.0,0.0
2025-03-29,京セラドーム大阪,0,2,0.2698,0.5977,0.0,1.0,2.0,0.0,0.0
2025-03-29,京セラドーム大阪,0,3,0.2432,0.6044,0.0,1.0,2.0,0.0,0.0
2025-03-29,京セラドーム大阪,0,4,0.3281,0.6385,0.0,0.0,0.0,0.333333,0.666667
2025-03-29,京セラドーム大阪,0,5,0.2857,0.7143,1.0,1.0,3.0,0.0,0.0
2025-03-29,京セラドーム大阪,0,6,0.4156,0.7762,0.0,0.0,0.0,0.0,0.0
2025-03-29,京セラドーム大阪,0,7,0.3462,0.6795,0.0,0.0,0.0,0.0,0.0
2025-03-29,京セラドーム大阪,0,8,0.2143,0.3681,0.0,0.0,0.5,1.0,2.0
2025-03-29,京セラドーム大阪,0,9,0.287,0.5928,0.0,0.0,0.0,0.0,0.0
2025-03-29,京セラドーム大阪,1,1,0.2857,0.6689,0.0,0.0,0.0,0.0,0.0
2025-03-29,京セラドーム大阪,1,2,0.3469,0.7333,0.0,1.0,2.0,0.0,0.0
