name,AB,H,2B,3B,HR,TB,BB,HBP,SF
岩嵜翔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
エスピノーザ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
オリバレス,33.0,6.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0
大里昂生,85.0,19.0,0.0,2.0,0.0,23.0,11.0,0.0,1.0
大城滉二,68.0,17.0,0.0,0.0,0.0,17.0,6.0,1.0,0.0
太田椋,448.0,127.0,10.0,0.0,10.0,167.0,33.0,5.0,4.0
片山楽生,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
川瀬堅斗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
来田涼斗,124.0,29.0,5.0,0.0,2.0,40.0,7.0,1.0,1.0
九里亜蓮,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
紅林弘太郎,400.0,104.0,20.0,1.0,9.0,153.0,35.0,3.0,5.0
元謙太,7.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
古田島成龍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
権田琉成,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
才木海翔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
佐藤一磨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杉澤龍,15.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
杉本裕太郎,401.0,104.0,15.0,2.0,16.0,171.0,38.0,9.0,7.0
曽谷龍平,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
髙島泰都,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
田嶋大樹,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶野篤政,12.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ディアス,127.0,29.0,4.0,0.0,2.0,39.0,11.0,0.0,0.0
寺西成騎,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東松快征,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
