team,name,Hand,AB,H,2B,3B,HR,TB,BB,HBP,SF
DeNA,フォード,左打,20.0,4.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0
DeNA,堀岡隼人,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,牧秀悟,右打,517.0,152.0,33.0,0.0,23.0,254.0,37.0,5.0,2.0
DeNA,松尾汐恩,右打,38.0,8.0,3.0,0.0,0.0,11.0,1.0,1.0,0.0
DeNA,松本隆之介,左打,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,松本凌人,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,三嶋一輝,両打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,宮城滝太,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,宮﨑敏郎,右打,410.0,116.0,24.0,0.0,14.0,182.0,52.0,6.0,1.0
DeNA,森敬斗,左打,187.0,47.0,12.0,1.0,0.0,61.0,12.0,0.0,1.0
DeNA,森唯斗,右打,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DeNA,森原康平,左打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,山﨑康晃,右打,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeNA,大和,右打,81.0,20.0,1.0,0.0,0.0,21.0,5.0,1.0,3.0
DeNA,山本祐大,右打,358.0,104.0,14.0,2.0,5.0,137.0,27.0,3.0,6.0
DeNA,吉野光樹,右打,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
DeNA,度会隆輝,左打,251.0,64.0,7.0,1.0,3.0,82.0,12.0,7.0,1.0
広島,アドゥワ誠,右打,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
