投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
岩田　稔,阪神,岡本　和真,巨人,0.2,7,5,1,0,1,0,0,2,2,0,0,1,0.829,0.429,0.4
加治屋　蓮,阪神,岡本　和真,巨人,0.167,7,6,1,0,1,0,0,2,0,1,0,2,0.619,0.286,0.333
Ｒ．ドリス,阪神,岡本　和真,巨人,0.143,7,7,1,1,0,0,0,1,0,0,0,2,0.286,0.143,0.143
岡留　英貴,阪神,岡本　和真,巨人,0.167,6,6,1,1,0,0,0,1,0,0,0,1,0.334,0.167,0.167
守屋　功輝,阪神,岡本　和真,巨人,0.5,5,4,2,2,0,0,0,2,1,0,0,1,1.1,0.6,0.5
門別　啓人,阪神,岡本　和真,巨人,0.5,5,4,2,1,0,0,1,5,1,0,0,1,1.85,0.6,1.25
富田　蓮,阪神,岡本　和真,巨人,0.4,5,5,2,1,0,1,0,4,0,0,0,0,1.2,0.4,0.8
島本　浩也,阪神,岡本　和真,巨人,0.25,5,4,1,1,0,0,0,1,1,0,0,0,0.65,0.4,0.25
Ｒ．スアレス,阪神,岡本　和真,巨人,0.25,5,4,1,1,0,0,0,1,1,0,0,1,0.65,0.4,0.25
岡本　洋介,阪神,岡本　和真,巨人,0.333,5,3,1,1,0,0,0,1,2,0,0,1,0.933,0.6,0.333
湯浅　京己,阪神,岡本　和真,巨人,0.4,5,5,2,1,1,0,0,3,0,0,0,0,1,0.4,0.6
飯田　優也,阪神,岡本　和真,巨人,0.8,5,5,4,2,1,0,1,8,0,0,0,1,2.4,0.8,1.6
谷川　昌希,阪神,岡本　和真,巨人,0.333,4,3,1,1,0,0,0,1,0,1,0,1,0.833,0.5,0.333
齋藤　友貴哉,阪神,岡本　和真,巨人,0,4,2,0,0,0,0,0,0,1,0,0,1,0.25,0.25,0
伊原　陵人,阪神,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
漆原　大晟,阪神,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0.666,0.333,0.333
石崎　剛,阪神,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0
Ｊ．デュプランティエ,阪神,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｍ．マテオ,阪神,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,1,1,0.5,0.5
Ｃ．ブルワー,阪神,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
高野　圭佑,阪神,岡本　和真,巨人,1,2,1,1,1,0,0,0,1,0,1,0,0,2,1,1
髙橋　聡文,阪神,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
畠　世周,阪神,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｎ．ネルソン,阪神,岡本　和真,巨人,1,1,1,1,0,1,0,0,2,0,0,0,0,3,1,2
横山　雄哉,阪神,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｊ．エドワーズ,阪神,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ｄ．モレノ,阪神,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
大瀬良　大地,広島,岡本　和真,巨人,0.346,84,78,27,15,4,0,8,55,6,0,0,15,1.098,0.393,0.705
九里　亜蓮,広島,岡本　和真,巨人,0.269,82,67,18,11,2,0,5,35,12,2,0,12,0.912,0.39,0.522
床田　寛樹,広島,岡本　和真,巨人,0.266,68,64,17,15,2,0,0,19,4,0,0,8,0.606,0.309,0.297
森下　暢仁,広島,岡本　和真,巨人,0.264,60,53,14,9,2,0,3,25,7,0,0,14,0.822,0.35,0.472
遠藤　淳志,広島,岡本　和真,巨人,0.154,44,39,6,4,0,0,2,12,5,0,0,8,0.558,0.25,0.308
野村　祐輔,広島,岡本　和真,巨人,0.282,42,39,11,4,3,0,4,26,2,1,0,7,1,0.333,0.667
Ｋ．ジョンソン,広島,岡本　和真,巨人,0.207,33,29,6,4,1,0,1,10,3,1,0,6,0.648,0.303,0.345
島内　颯太郎,広島,岡本　和真,巨人,0.267,32,30,8,6,1,0,1,12,1,0,0,3,0.681,0.281,0.4
玉村　昇悟,広島,岡本　和真,巨人,0.481,29,27,13,6,5,0,2,24,2,0,0,2,1.406,0.517,0.889
アドゥワ　誠,広島,岡本　和真,巨人,0.273,25,22,6,5,0,0,1,9,3,0,0,7,0.769,0.36,0.409
中﨑　翔太,広島,岡本　和真,巨人,0.353,19,17,6,5,1,0,0,7,1,0,0,2,0.78,0.368,0.412
Ｇ．フランスア,広島,岡本　和真,巨人,0.214,18,14,3,2,0,0,1,6,4,0,0,7,0.818,0.389,0.429
高橋　昂也,広島,岡本　和真,巨人,0.214,15,14,3,2,1,0,0,4,1,0,0,5,0.553,0.267,0.286
塹江　敦哉,広島,岡本　和真,巨人,0.4,15,10,4,2,1,0,1,8,5,0,0,1,1.4,0.6,0.8
森浦　大輔,広島,岡本　和真,巨人,0.231,15,13,3,2,0,0,1,6,2,0,0,0,0.795,0.333,0.462
栗林　良吏,広島,岡本　和真,巨人,0.385,15,13,5,4,1,0,0,6,2,0,0,2,0.929,0.467,0.462
拓也 （矢崎　拓也）,広島,岡本　和真,巨人,0.583,13,12,7,5,1,0,1,11,1,0,0,1,1.532,0.615,0.917
岡田　明丈,広島,岡本　和真,巨人,0.417,13,12,5,2,2,0,1,10,1,0,0,1,1.295,0.462,0.833
一岡　竜司,広島,岡本　和真,巨人,0.091,13,11,1,1,0,0,0,1,2,0,0,3,0.322,0.231,0.091
ケムナ　誠,広島,岡本　和真,巨人,0.3,12,10,3,2,0,0,1,6,2,0,0,2,1.017,0.417,0.6
大道　温貴,広島,岡本　和真,巨人,0.3,12,10,3,1,2,0,0,5,1,1,0,3,0.917,0.417,0.5
森　翔平,広島,岡本　和真,巨人,0.2,12,10,2,0,1,0,1,6,2,0,0,0,0.933,0.333,0.6
Ｒ．コルニエル,広島,岡本　和真,巨人,0.375,10,8,3,0,1,0,2,10,1,1,0,2,1.75,0.5,1.25
Ｄ．アンダーソン,広島,岡本　和真,巨人,0,9,8,0,0,0,0,0,0,1,0,0,2,0.111,0.111,0
薮田　和樹,広島,岡本　和真,巨人,0,8,5,0,0,0,0,0,0,3,0,0,2,0.375,0.375,0
菊池　保則,広島,岡本　和真,巨人,0.125,8,8,1,0,0,0,1,4,0,0,0,2,0.625,0.125,0.5
中村　祐太,広島,岡本　和真,巨人,0.333,8,6,2,2,0,0,0,2,2,0,0,0,0.833,0.5,0.333
