game_date,batter_id,batter_name,pitcher_id,pitcher_name,stadium_id,Home_Away_id,bat_order,inning,top_bottom,out_count,runner1,runner2,runner3,score_diff,batter_hand,pitcher_hand,batter_avg,batter_ops,batter_obp,batter_slg,batter_iso,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops,pitcher_era,pitcher_k9,pitcher_whip,pitcher_ops,vs_ops,previous_result1,previous_result2,previous_result3,previous_result4,previous_result5,label
2025/3/28,B_0002,岩田　幸宏,P_0003,堀田　賢慎,東京ドーム,Away,2,7,0,1,0,0,0,1,左,右,0,0,0,0,0,0,0,,,9,4.5,1,1.1667,,三ゴ,三ゴ,二ゴ,,,中安
2025/3/28,B_0003,長岡　秀樹,P_0003,堀田　賢慎,東京ドーム,Away,3,7,0,1,1,0,0,1,左,右,0,0,0,0,0,0,0,,,11.5714,3.8571,1.2857,1.2857,,三振,二ゴ,左飛,,,二併
2025/3/28,B_0020,濱田　太貴,P_0003,堀田　賢慎,東京ドーム,Away,3,7,0,0,0,0,0,1,右,右,,,,,,,,,,10.125,3.375,1.125,1.125,,,,,,,左安
2025/3/28,B_0013,甲斐　拓也,P_0004,石山　泰稚,東京ドーム,Home,7,7,1,0,0,0,0,-1,右,右,0.5,1,0.5,0.5,0,0.5,1,,,,,,,,遊飛,右安,,,,遊ゴ
2025/3/28,B_0014,門脇　誠,P_0004,石山　泰稚,東京ドーム,Home,8,7,1,1,0,0,0,-1,左,右,0.5,1,0.5,0.5,0,0.5,1,,,0,0,0,0,,中飛,投安,,,,三振
2025/3/28,B_0021,オコエ　瑠偉,P_0004,石山　泰稚,東京ドーム,Home,8,7,1,2,0,0,0,-1,右,右,,,,,,,,,,0,13.5,0,0,,,,,,,三ゴ
2025/3/28,B_0009,D.サンタナ,P_0005,泉　圭輔,東京ドーム,Away,4,8,0,0,0,0,0,1,右,右,0.6667,2.3333,0.6667,1.6667,1,0.666667,2.333333,,,,,,,,左本,左安,三振,,,三振
2025/3/28,B_0010,J.オスナ,P_0005,泉　圭輔,東京ドーム,Away,5,8,0,1,0,0,0,1,右,右,0,0,0,0,0,0,0,,,0,27,0,0,,右飛,一失,二ゴ,,,二ゴ
2025/3/28,B_0011,赤羽　由紘,P_0005,泉　圭輔,東京ドーム,Away,6,8,0,2,0,0,0,1,右,右,0.3333,0.6667,0.3333,0.3333,0,0.333333,0.666667,,,0,13.5,0,0,,三ゴ,左安,遊飛,,,三振
2025/3/28,B_0004,若林　楽人,P_0006,山本　大貴,東京ドーム,Home,1,8,1,0,0,0,0,-1,右,左,0.3333,0.6667,0.3333,0.3333,0,0.333333,0.666667,,,,,,,,三振,右飛,中安,,,左安
2025/3/28,B_0005,T.キャベッジ,P_0006,山本　大貴,東京ドーム,Home,2,8,1,0,1,0,0,-1,左,左,0.6667,2,0.6667,1.3333,0.6666,0.666667,2,,,27,0,3,2,,左２,中飛,右２,,,右本
2025/3/28,B_0006,吉川　尚輝,P_0006,山本　大貴,東京ドーム,Home,3,8,1,0,0,0,0,1,左,左,0,0,0,0,0,0,0,,,27,0,3,3.5,,遊直,遊直,一ゴ,,,四球
2025/3/28,B_0007,岡本　和真,P_0007,木澤　尚文,東京ドーム,Home,4,8,1,0,1,0,0,1,右,右,0,0,0,0,0,0,0,,,,,,,,二ゴ,三振,三飛,,,一飛
2025/3/28,B_0008,E.ヘルナンデス,P_0007,木澤　尚文,東京ドーム,Home,5,8,1,1,1,0,0,1,右,右,0.3333,0.6667,0.3333,0.3333,0,0.333333,0.666667,,,0,0,0,0,,中安,遊ゴ,左飛,,,二安
2025/3/28,B_0012,坂本　勇人,P_0007,木澤　尚文,東京ドーム,Home,6,8,1,1,1,1,0,1,右,右,0,0,0,0,0,0,0,,,13.5,0,1.5,1,,三併,左飛,三ゴ,,,遊併
2025/3/28,B_0016,茂木　栄五郎,P_0005,泉　圭輔,東京ドーム,Away,7,9,0,0,0,0,0,-1,左,右,0.5,1.1667,0.6667,0.5,0,0.5,1.166667,,,0,18,0,0,,右安,四球,中飛,,,中飛
2025/3/28,B_0017,中村　悠平,P_0005,泉　圭輔,東京ドーム,Away,8,9,0,1,0,0,0,-1,右,右,0.3333,0.6667,0.3333,0.3333,0,0.333333,0.666667,,,0,13.5,0,0,,右飛,中安,右飛,,,右飛
2025/3/28,B_0022,丸山　和郁,P_0005,泉　圭輔,東京ドーム,Away,8,9,0,2,0,0,0,-1,左,右,,,,,,,,,,0,10.8,0,0,,,,,,,捕ゴ
2025/3/28,B_0004,若林　楽人,P_0008,田口　麗斗,東京ドーム,Home,1,9,1,0,0,0,0,1,右,左,0.5,1,0.5,0.5,0,0.333333,0.666667,1,2,,,,,,左安,三振,右飛,中安,,右安
2025/3/28,B_0005,T.キャベッジ,P_0008,田口　麗斗,東京ドーム,Home,2,9,1,0,1,0,0,1,左,左,0.75,2.75,0.75,2,1.25,0.666667,2,1,5,27,0,3,2,,右本,左２,中飛,右２,,死球
2025/3/28,B_0006,吉川　尚輝,P_0008,田口　麗斗,東京ドーム,Home,3,9,1,0,1,1,0,1,左,左,0,0.25,0.25,0,0,0,0,,,27,0,1.5,2,,四球,遊直,遊直,一ゴ,,中安
2025/3/28,B_0007,岡本　和真,P_0008,田口　麗斗,東京ドーム,Home,4,9,1,0,1,1,1,1,右,左,0,0,0,0,0,0,0,,,27,0,2,2,,一飛,二ゴ,三振,三飛,,左安
2025/3/28,B_0008,E.ヘルナンデス,P_0008,田口　麗斗,東京ドーム,Home,5,9,1,0,1,1,1,2,右,左,0.5,1,0.5,0.5,0,0.5,1,,,27,0,2.25,2,,二安,中安,遊ゴ,左飛,,右飛
2025/3/28,B_0012,坂本　勇人,P_0008,田口　麗斗,東京ドーム,Home,6,9,1,1,1,1,1,2,右,左,0,0,0,0,0,0,0,,,21.6,0,1.8,1.55,,遊併,三併,左飛,三ゴ,,三ゴ
2025/3/28,B_0013,甲斐　拓也,P_0008,田口　麗斗,東京ドーム,Home,7,9,1,2,1,1,1,2,右,左,0.3333,0.6667,0.3333,0.3333,0,0.333333,0.666667,,,18,0,1.5,1.2667,,遊ゴ,遊飛,右安,,,中安
